Company Name, ,Class 10 Percentage,Class 12 Percentage,Graduation Percentage,Degree,Additional Qualifications,Extra Courses,Specialisation,Languages Known,Skills,Past Experience (months),Preferred Work Location,Achievements,Projects,Competitions,Publications,Patents,Internship Stipend (?/month),Internship Duration (months),Department,Internship Type,Contact Email,Contact Phone,Application Deadline
RELIANCE INDUSTRIES LIMITED,"New Delhi, Delhi",75,61.6,54.76,Bsc.,Lean Six Sigma Yellow Belt,None,Chemical,Malayalam; Hindi,HTML/CSS; Machine Learning; Sales,12,"Lucknow, Uttar Pradesh",Internship at local startup,Customer segmentation analysis; E-commerce recommendation engine,Hackathon Winner,Whitepaper on Supply Chain,Patent on Process Optimization,29823,9,Engineering,Remote,damini48@iyer.com,8608285070,2026-01-28
TATA CONSULTANCY SERVICES LIMITED,"Thiruvananthapuram, Kerala",89,78.18,51,BBA,Lean Six Sigma Yellow Belt,,Finance,Marathi; Tamil; Gujarati,JavaScript; Machine Learning,0,"Jaipur, Rajasthan",Developed a forecasting model,Energy consumption optimization project; Customer segmentation analysis,Hackathon Winner,Whitepaper on Supply Chain,Patent on Sensor Design,31948,2,Finance,Hybrid,singhalivana@singh.com,947090477,2026-02-05
HDFC BANK LIMITED,"Jaipur, Rajasthan",76,68.13,51.93,B.A.,Lean Six Sigma Yellow Belt,Google: Digital Marketing; Coursera: Data Science,Chemical,Oriya; Malayalam,Java; Power BI; HTML/CSS; Sales,0,"Jaipur, Rajasthan",Developed a forecasting model,Energy consumption optimization project; Chatbot for FAQs,Coding Contest Top 10,No publications,Patent on Process Optimization,23811,11,Data Analytics,Remote,anikagour@dani.net,5075009776,2026-01-19
OIL AND NATURAL GAS CORPORATION LIMITED,"Chennai, Tamil Nadu",81,92.08,86.28,B.A.,None,AWS Fundamentals; Coursera: Data Science,Electrical,Kannada; Marathi,HTML/CSS; Customer Service; Power BI,12,"Hyderabad, Telangana",Developed a forecasting model,E-commerce recommendation engine; Chatbot for FAQs,Business Plan Runner-up,Magazine article on Finance,Patent on Sensor Design,27579,3,Engineering,Onsite,kadakiaivana@lad.com,9586600016,2026-03-11
INFOSYS LIMITED,"Lucknow, Uttar Pradesh",64,74.18,86.25,B.Com,Cisco CCNA,SAP Basics; Google: Digital Marketing,Biotechnology,Oriya,Tableau; SQL; Problem Solving; Java,0,"Bhopal, Madhya Pradesh",Developed a forecasting model,NLP sentiment analysis on reviews; Chatbot for FAQs,Math Olympiad State Level,Magazine article on Finance,Patent pending on Algorithm,24860,4,R&D,Remote,nishith00@chada.com,4938627025,2026-01-28
NTPC LIMITED,"Chennai, Tamil Nadu",61,86.66,84.92,B.Com,Certified Data Analyst,NPTEL: Machine Learning,Civil,Marathi; Telugu,Data Analysis; Sales,0,"Jaipur, Rajasthan",No notable achievements,IoT based monitoring system,Case Study Competition,Magazine article on Finance,Patent on Process Optimization,31050,1,HR,Remote,deyzoya@chawla.com,1986084176,2026-03-03
TATA STEEL LIMITED,"Thiruvananthapuram, Kerala",82,61.51,75.71,B.Sc.,Financial Modeling Certificate,,Marketing,Kannada; Gujarati,Data Analysis; Power BI; SQL; Customer Service; Tableau,12,"Hyderabad, Telangana",Published a project report,NLP sentiment analysis on reviews,Coding Contest Top 10,Magazine article on Finance,Patent on Process Optimization,21934,3,Finance,Hybrid,vanand@goel.com,980103841,2025-12-01
ITC LIMITED,"Gurugram, Haryana",76,73.17,82.76,B.A.,Financial Modeling Certificate,None,Electrical,Hindi; Telugu,Marketing; Sales; Communication; SQL; Power BI,0,"Jaipur, Rajasthan",Published a project report,NLP sentiment analysis on reviews; IoT based monitoring system,Case Study Competition,Whitepaper on Supply Chain,No patents,14102,2,R&D,Onsite,rajanheer@guha-guha.com,7771469280,2026-01-05
INDIAN OIL CORPORATION LIMITED,"Pune, Maharashtra",85,93.51,87.44,B.Sc.,Cisco CCNA,IBM: Data Analyst; SAP Basics,Chemical,Tamil; Kannada,JavaScript; Java; Tableau; Marketing; Communication,0,"Mumbai, Maharashtra",Won college hackathon,E-commerce recommendation engine,Hackathon Winner,Whitepaper on Supply Chain,No patents,20696,5,Engineering,Remote,ritvik35@vaidya.com,5375399447,2025-11-25
ICICI BANK LIMITED,"Pune, Maharashtra",78,60.03,70.73,Diploma,Lean Six Sigma Yellow Belt,,Marketing,Telugu,JavaScript; Problem Solving; Sales; Marketing; HTML/CSS,6,"Thiruvananthapuram, Kerala",No notable achievements,Mobile app for local services,Math Olympiad State Level,Whitepaper on Supply Chain,No patents,27938,6,Consulting,Onsite,navya89@swaminathan.info,935453053,2025-11-24
